Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20120198483,03.08.2012,METHOD AND APPARATUS FOR EXECUTING APPLICATION INSTALLED IN REMOTE DEVICE,[10-2011-0010304 2011-02-01T23:59:59.000Z KR],G06F 9/46,JIN Ho;SOHN Young-chul,JIN Ho;SOHN Young-chul,
US07921447,06.04.2011,Enhanced television metadata processor for efficient broadcast operations,,H04N 7/173,Thomson Licensing,Weber Jay;Kaiser David;Panchangam Prasad,
US08027988,28.09.2011,Category suggestions relating to a search,,G06F 7/00;G06F 17/30,Google Inc.,Egnor Daniel;Reid Elizabeth Hamon,
US08169613,02.05.2012,Segmented polarizer for optimizing performance of a surface inspection system,,G01J 4/00,KLA-Tencor Corp.,Biellak Stephen;Kavaldjiev Daniel,
US20130342574,27.12.2013,Range of focus in an augmented reality application,,G09G 5/00,Google Inc.;Google Inc.,Tseng Erick,
US20120105475,04.05.2012,Range of focus in an augmented reality application,,G09G 5/00;G06K 9/00,Tseng Erick;Google Inc.,Tseng Erick,
US08595250,27.11.2013,Category suggestions relating to a search,,G06F 7/00;G06F 17/30,Egnor Daniel;Google Inc.;Reid Elizabeth Hamon,Egnor Daniel;Reid Elizabeth Hamon,
US08520208,28.08.2013,Segmented polarizer for optimizing performance of a surface inspection system,,G01J 4/00,Biellak Stephen;KLA-Tencor Corporation;Kavaldjiev Daniel,Biellak Stephen;Kavaldjiev Daniel,
US20130198159,02.08.2013,SYSTEMS AND METHODS FOR PERFORMING GEO-SEARCH AND RETRIEVAL OF ELECTRONIC POINT-OF-INTEREST RECORDS USING A BIG INDEX,,G06F 17/30,Hendry Geoff,Hendry Geoff,
US20130110599,03.05.2013,,,G06Q 30/02,Advershares LLC;ADVERSHARES LLC,Gonzales Rogelio J.,
US20130233863,13.09.2013,Shape memory handles and insulators,,B65D 25/10;B29C 69/00;B32B 27/30;A47J 45/06;B29C 45/16;B32B 27/34;B32B 27/08;A47J 45/00;B32B 25/20;A47J 36/00;B32B 25/08;B32B 1/08;B29C 45/14,Lapine Rick;Hudson Home Group LLC,Lapine Rick,
US20140229468,15.08.2014,Location-Based Mobile Search,,G06F 17/30,"C/O VMOBO, INC.",Or Yan;Sankaran Anand Kumar;Gopinathan Madhu;Sundaresan Vinu,
US20140297683,03.10.2014,Range of Focus in an Augmented Reality Application,,G06F 17/30;G06T 19/00,,,
US20140173269,20.06.2014,Event Sharing Protocol for Data Processing Devices,,H04L 12/58;H04L 9/00,APPLE INC.;APPLE INC.,Varoglu Devrim;Dave Swapnil R.,
US20150034654,06.02.2015,SHAPE MEMORY HANDLES AND INSULATORS,,A47J 45/06;B32B 25/20;B32B 25/08;B32B 27/30;B32B 37/15;B32B 27/08;A47J 45/08;A47J 27/00;B32B 37/24;B32B 7/02;B32B 27/34,Hudson Home Group LLC;,Lapine Rick,
WO2014186771,21.11.2014,PRIVACY SENSITIVE PERSONA MANAGEMENT TOOLS,"[US 20130516 61/824,353]",G06F 17/30,"NFLUENCE MEDIA, INC.","ROUNDTREE, Brian",
EP1605700,15.12.2005,Method and apparatus for simplified e-commerce shopping via home shopping terminals,[86431104 2004-06-08T23:59:59.000Z US],H04N 5/445;H04N 7/173;G06Q 30/00;H04M 9/00;H04M 11/08;H04N 5/445;H04N 7/16;H04N 7/173,ELBEX VIDEO LTD,ELBERBAUM DAVID,
EP1813914,02.08.2007,"A product, service and activity based interactive trip mapping system, method and computer program product",[26719605 2005-11-07T23:59:59.000Z US],G01C 21/34;G01C 21/36,FRANCE TELECOM,EICHENBAUM ANDREW;SHISHIR GARG;MULLAN PRAMILA,
CA2566997,30.12.2005,METHOD AND APPARATUS FOR SIMPLIFIED E-COMMERCE SHOPPING,"[10/864,311 2004-06-08T23:59:59.000Z US]",H04N 21/478;G06Q 30/06,ELBEX VIDEO LTD.,"ELBERBAUM, DAVID",
US20070105536,11.05.2007,"Methods and apparatus for providing SMS notification, advertisement and e-commerce systems for university communities",[11268179 2005-11-07T23:59:59.000Z US],H04W 4/12;H04W 4/14;H04W 88/00;H04W 88/18,TINGO GEORGE JR,Tingo George,
US20110071895,25.03.2011,SYSTEMS AND METHODS FOR DIGITIZED LOYALTY PROGRAMS AND TARGETED MOBILE ADVERTISEMENTS,,G06Q 30/00;G06K 19/06,Masri Rabih C.,Masri Rabih C.,
US20100158230,25.06.2010,SYSTEM AND METHOD FOR PERFORMING CERTAIN ACTIONS BASED UPON A DIALED TELEPHONE NUMBER,,H04M 3/42,DHAWAN VISHAL;PRICE TIMOTHY M;SINDHWANI MANOJ,DHAWAN Vishal;Price Timothy M.;Sindhwani Manoj,
US20100010934,15.01.2010,UNIVERSAL ADVERTISING DIRECTORY,,G06Q 30/00;G06Q 30/00,PRICEARC INC.,"Barry David;Chourou Slim;Fister, III Andrew;Greenwalt Jessica;Marutian Eric;Veynberg Leo",
US20140149399,30.05.2014,Determining user intent from query patterns,,G06F 17/00,,,
WO2013033330,08.03.2013,OBJECT PROCESSING STATE SENSING USING RF RADIATION,"[US 20110831 61/529,361, US 20120319 61/612,961]",H05B 6/64,"GOJI LTD.;HADAD, Sharon;LIBMAN, Avner;YAARI, Igal;BEN-HAIM, Yuval;BEREZIN, Maksim;SILCOFF, Elliad;RON, Amichai","HADAD, Sharon;LIBMAN, Avner;YAARI, Igal;BEN-HAIM, Yuval;BEREZIN, Maksim;SILCOFF, Elliad;RON, Amichai",
WO2011140503,11.11.2011,A PLURALITY OF ACCELERATED COOKING OVENS WITH MASTER-SLAVE POWER ASSEMBLY,"[61/332,152 06.05.2010 US, 61/346,321 19.05.2010 US]",H05B 6/06,"APPLIANCE SCIENTIFIC, INC.;MCKEE, Philip, R.;SMITH, Scott, S.;VANLANEN, Lee, T.;WINKELMANN, Earl, R.","MCKEE, Philip, R.;SMITH, Scott, S.;VANLANEN, Lee, T.;WINKELMANN, Earl, R.",
WO2011116381,23.09.2011,RAPID NAVIGATION SYSTEM FOR MOBILE DEVICES,"[61/315,853 19.03.2010 US]",G06F 17/30,"PAXFIRE, INC.;ARMENTROUT, Douglass;ABRAMSON, James","ARMENTROUT, Douglass;ABRAMSON, James",
WO2007049981,04.05.2007,DAIRY PRODUCT AND PROCESS,[543271 28.10.2005 NZ],A23C 20/00,"FONTERRA CO-OPERATIVE GROUP LIMITED;JACO, Martha, Elizabeth, Duenas;GONZALEZ, Angeles, Rodriguez;OTERO, Ignacio, Morfin","JACO, Martha, Elizabeth, Duenas;GONZALEZ, Angeles, Rodriguez;OTERO, Ignacio, Morfin",
WO2014074946,16.05.2014,BRANDED PERSONA ADVERTISEMENT,"[US 20121108 13/672,431]",G06Q 30/02,MICROSOFT CORPORATION,"SMITH, Karen Woessner;DE LA GARZA, Enrique;WALICZEK, Nell;HOBART, Leah",
WO2004090754,22.10.2004,A SYSTEM FOR GENERATING SEARCH RESULTS INCLUDING SEARCHING BY SUBDOMAIN HINTS AND PROVIDING SPONSORED RESULTS BY SUBDOMAIN,"[60/460,658 04.04.2003 US]",G06F 17/30,"YAHOO! INC.;DIAB, Ali;GATZ, Scott A.;KAPUR, Shyam;KU, David;KUNG, Chuck;HOANG, Phu;LU, Qi;POGUE, Lynne;SHEN, Yuan Kui;SHI, Norman;TRAN, Thai;WALTHER, Eckart;WEINER, Jeff","DIAB, Ali;GATZ, Scott A.;KAPUR, Shyam;KU, David;KUNG, Chuck;HOANG, Phu;LU, Qi;POGUE, Lynne;SHEN, Yuan Kui;SHI, Norman;TRAN, Thai;WALTHER, Eckart;WEINER, Jeff",
WO2009058289,08.05.2009,METHOD OF AND SYSTEM FOR AUTOMATICALLY SWITCHING BETWEEN FREE DIRECTORY ASSISTANCE SERVICE AND CHARGEABLE DIRECTORY ASSISTANCE SERVICE,"[60/983,897 30.10.2007 US, 12/257,454 24.10.2008 US]",H04M 3/42,"VOLT DELTA RESOURCES LLC;OLDACH, Richard, J.;PELLEGRINO, Michael;SCOTT, Dwight, E.;DETRIE, Robert, C.","OLDACH, Richard, J.;PELLEGRINO, Michael;SCOTT, Dwight, E.;DETRIE, Robert, C.",
WO2001016801,09.03.2001,AN ENHANCED SYSTEM FOR THE CREATION OF CUSTOM DESIGNED DIRECT MAIL ADVERTISING AND DESIGNATION OF RECIPIENTS THEREOF VIA THE INTERNET PROVIDING FOR USER SUPPLIER TEMPLATES,"[60/151,268 27.08.1999 US]",G06Q 30/00,"KARGMAN, James, B.","KARGMAN, James, B.",
WO2007027712,09.03.2007,MICROWAVE SUSCEPTORS INCORPORATING EXPANDABLE POLYMERIC PARTICLES,"[60/712,224 29.08.2005 US, 60/712,221 29.08.2005 US, 60/712,218 29.08.2005 US]",B65D 81/34,"E. I. DU PONT DE NEMOURS AND COMPANY;YOUNG, James, C.;MARSH, Wayne","YOUNG, James, C.;MARSH, Wayne",
WO2012057943,04.05.2012,SYSTEMS AND METHODS FOR INTEGRATING INFORMATION FROM VOICE OVER INTERNET PROTOCOL SYSTEMS AND SOCIAL NETWORKING SYSTEMS,"[61/406,729 26.10.2010 US]",H04M 3/22;H04M 7/00;H04M 3/487;H04L 29/08;G06Q 30/00,"VONAGE NETWORK LLC;LANGOS, Geoffrey;EFRATI, Tzahi;STERMAN, Baruch","LANGOS, Geoffrey;EFRATI, Tzahi;STERMAN, Baruch",
WO2013154916,18.10.2013,USER TASK COMPLETION VIA OPEN MARKET OF ACTIONS AND/OR PROVIDERS,"[US 20120408 13/441,898]",G06F 17/30,MICROSOFT CORPORATION,"MACBETH, Steven, William;O'CONNOR, Michael, William;JIANG, Zhaowei, Charlie;SNELLENBERG, Michael, Van;JIANG, Li;SADHUKHA, Shajib;KUMAR, Amit",
WO2013036373,15.03.2013,PRESENTING SEARCH RESULTS IN HIERARCHICAL FORM,"[US 20110909 13/229,365]",G06F 3/048;G06F 3/14;G06F 17/30,"FACEBOOK, INC.;ANDERSSON, Rasmus, Mathias;YAO, Rose;TSENG, Erick","ANDERSSON, Rasmus, Mathias;YAO, Rose;TSENG, Erick",
WO2014019062,07.02.2014,METHOD AND SYSTEM FOR DYNAMICALLY INSERTING CONTENT INTO STREAMING MEDIA,"[US 20120730 13/561,188]",H04N 21/458;H04N 21/4402,MDIALOG CORPORATION,"PHILPOTT, Gregory Robert;PATEL, Indravadan Vipinbhai;DINN, Christopher Gary",
US20050137958,24.06.2005,Advertising methods for advertising time slots and embedded objects,,G06F 17/60;H04N 7/10;G06Q 30/00,Intellocity USA Inc.,Huber Thomas;Lemmons Thomas;Zenoni Ian,
US20110321087,30.12.2011,Advertising methods for advertising time slots and embedded objects,,H04N 7/10,"Huber Thomas;OpenTV, Inc.;Lemmons Thomas;Zenoni Ian",Huber Thomas;Lemmons Thomas;Zenoni Ian,
WO2012001523,06.01.2012,PROCESSING OBJECTS BY RADIO FREQUENCY (RF) ENERGY,"[61/360,532 01.07.2010 US]",H05B 6/68;H05B 1/02,"GOJI LTD.;TORRES, Eyal;SELINGER, Daniel","TORRES, Eyal;SELINGER, Daniel",
WO2014144238,19.09.2014,GIFT CARD MALL IN THE HOME,"[US 20130315 13/837,250]",G06Q 30/00,"WILOPEN PRODUCTS, LC","WILEN, Richard",
WO2009146087,04.12.2009,"OPEN FRAMEWORK FOR INTEGRATING, ASSOCIATING AND INTERACTING WITH CONTENT OBJECTS","[US 20080401 61/041,590]",G06F 17/30;G06F 17/00,"YAHOO! INC.;BOERRIES, Marco;OTT , Edward, Stanley, IV;SAFT, Keith, David;DAVIS, Marc, Eliot;KUMAR, Amit;JESSEN, Erik, Nik;CHUM, Jonathan, Merrel;GRINSTED, George;PARRY, Lee, John;TAGGART, Adam","BOERRIES, Marco;OTT , Edward, Stanley, IV;SAFT, Keith, David;DAVIS, Marc, Eliot;KUMAR, Amit;JESSEN, Erik, Nik;CHUM, Jonathan, Merrel;GRINSTED, George;PARRY, Lee, John;TAGGART, Adam",
WO2012099614,27.07.2012,METHOD AND SYSTEM FOR AUTOMATICALLY GENERATING EVENT RELEVANT MARKETING DEVICES,"[13/009,705 19.01.2011 US]",G06Q 50/00,INTUIT INC.,"KAKARLA, Kashinath;NANDA, Vishnu;MUTALIK, Anup, P.;DUTTA, Sagar;CARDE, Chinmay;UPADHYA, Sharath, H.",
WO2013163621,01.11.2013,"STUFFED, FLAVORED AND PACKAGED OLIVES","[US 20120427 61/639,731]",A23N 4/08,MUSCO FAMILY OLIVE COMPANY,"SIGAL, Abdulkadir, Yussuf;GARCIA, Jesus, Lopez;THEALL, Maria, Valeria",
WO2005107486,18.11.2005,CHEESE AND METHODS OF MAKING SUCH CHEESE,"[US 20040503 60/568,029]",A23C 19/00,"LEPRINO FOODS COMPANY;MERRILL, Richard, K.;SINGH, Mayank","MERRILL, Richard, K.;SINGH, Mayank",
EP0604547,07.07.1994,QUICK-COOKING OVEN,"[761285  , US19910761285  , US9207806  , WO1992US07806  , 76128591 1991-09-17T23:59:59.000Z US, 9207806 1992-09-15T23:59:59.000Z US]",F22B 1/28;H05B 6/68;F24C 7/00;H05B 6/80;F24C 1/00;F24C 1/02;H05B 6/80;H05B 11/00,TURBOCHEF INC,MCKEE PHILIP R;WINKELMANN EARL R,
EP0809418,27.11.1997,Quick-cooking oven,"[761285  , 92920326  , EP19920920326  , US19910761285  , 92920326 1992-09-15T23:59:59.000Z EP, 76128591 1991-09-17T23:59:59.000Z US]",F22B 1/28;H05B 6/68;F24C 7/00;H05B 6/80;F24C 1/00;F24C 1/02;H05B 6/80;H05B 11/00,TURBOCHEF TECH INC,MCKEE PHILIP R;WINKELMANN EARL R,
EP0650450,04.05.1995,SELF LIMITING MICROWAVE SUSCEPTOR,"[6458293 1993-05-21T23:59:59.000Z US, 9404968 1994-05-10T23:59:59.000Z US]",H05B 6/64;A23L 1/01;A23L 3/00;B29C 71/04;B29D 99/00;B65D 81/34;C08K 3/00;C08L 101/00;C09D 5/38;H01C 7/02,JAMES RIVER PAPER CO,POLLART KENNETH A;HABEGER CHARLES C JR,
EP2088551,13.08.2009,Providing relevant advertisements or other content based on a communications identifier,[2751608 2008-02-07T23:59:59.000Z US],G06Q 30/00;H04M 1/247;H04M 1/725,MICROSOFT CORP,HUANG XUEDONG;MAHAJAN MILIND V;KHUNE ABHIRAM G,
EP2327711,02.06.2011,METHODS FOR REMOVING PROLAMINS FROM WHEAT THAT ARE TOXIC TO THOSE SUFFERING FROM COELIAC DISEASE,"[200802393 2008-08-07T23:59:59.000Z ES, 2009070328 2009-07-31T23:59:59.000Z ES]",C07K 1/14,UNIV ROVIRA I VIRGILI;ICREA INSTITUCIO CATALANA DE RECERCA I ESTUDIS AVANCATS,O'SULLIVAN CIARA KATHLEEN;BERMUDO REDONDO MA CARMEN;KATAKIS IOANNIS,
CA2119239,02.04.1993,QUICK-COOKING OVEN,"[761,285 1991-09-17T23:59:59.000Z US]",F24C 7/02;H05B 6/80,TURBOCHEF INC.,"MCKEE, PHILIP R.;WINKELMANN, EARL R.",
CA2140518,09.12.1994,SELF LIMITING MICROWAVE SUSCEPTOR,"[064,582 1993-05-21T23:59:59.000Z US]",H05B 6/64;B65D 81/34;H01C 7/02,"JAMES RIVER PAPER COMPANY, INC.","POLLART, KENNETH A.;HABEGER, CHARLES C., JR.",
CA2556862,10.09.2005,SYSTEM AND METHOD FOR COMMUNICATING ASYNCHRONOUSLY WITH WEB SERVICES USING MESSAGE SET DEFINITIONS,"[60/548,096 2004-02-27T23:59:59.000Z US]",H04L 12/16,RESEARCH IN MOTION LIMITED,"SHENFIELD, MICHAEL;GORING, BRYAN;TSENTER, IGOR",
CA2601087,13.10.2006,MICROWAVE INTERACTIVE FLEXIBLE PACKAGING,"[11/096,440 2005-04-01T23:59:59.000Z US]",B65D 81/34;B65D 81/38,"GRAPHIC PACKAGING INTERNATIONAL, INC.","ROBISON, RICHARD G.;COLE, LORIN R.;BOHRER, TIMOTHY H.;MIDDLETON, SCOTT W.;LAFFERTY, TERRENCE P.;O'HAGAN, BRIAN R.;WNEK, PATRICK H.",
CA2597292,03.04.2008,APPARATUS FOR MICROWAVE COOKING OF A FOOD PRODUCT,"[11/537,929 2006-10-02T23:59:59.000Z US]",F24C 7/02;F24C 15/16;H05B 6/74,"KRAFT FOODS HOLDINGS, INC.","CARMICHAEL, GARY HERBERT;BEVIER, COREY JACOB;MASLOWSKIL, ALBERT VINCENT",
CA2602764,03.04.2008,APPARATUS FOR MICROWAVE COOKING OF A FOOD PRODUCT,"[11/537,923 2006-10-02T23:59:59.000Z US]",H05B 6/64;B65D 81/34,"KRAFT FOODS HOLDINGS, INC.","CARMICHAEL, GARY HERBERT;BEVIER, COREY JACOB;MASLOWSKI, ALBERT VINCENT",
CA2631185,08.08.2009,PROVIDING RELEVANT ADVERTISEMENTS OR OTHER CONTENT BASED ON A COMMUNICATIONS IDENTIFIER,"[12/027,516 2008-02-07T23:59:59.000Z US]",H04L 12/16;H04W 4/00;H04W 4/12;G06Q 30/02;H04L 12/58;H04M 3/42,MICROSOFT CORPORATION,"HUANG, XUEDONG;MAHAJAN, MILIND V.;KHUNE, ABHIRAM G.",
CA2212536,20.09.1996,DEVICE FOR SELECTIVELY PROVIDING A MULTIPLICITY OF AROMAS,[08/405040 1995-03-16T23:59:59.000Z US],A61L 9/12,MINNESOTA MINING AND MANUFACTURING COMPANY,"PENDERGRASS, DANIEL B., JR.",
CA1044016,13.12.1978,VISUAL DISPLAY WITH ODOR PRODUCING APPARATUS,,G09F 9/00,,"JOHNSON, FRANK",
CA2706625,,MICROWAVE INTERACTIVE FLEXIBLE PACKAGING,"[11/096,440 2005-04-01T23:59:59.000Z US]",B65D 81/34;B65D 81/38,"GRAPHIC PACKAGING INTERNATIONAL, INC.",,
CA2665142,11.04.2008,SALES OPPORTUNITY EXPLORER,"[11/866,321 2007-10-02T23:59:59.000Z US, 60/828,181 2006-10-04T23:59:59.000Z US]",G06Q 30/02,ADVANTAGE SALES & MARKETING LLC,"HOLTON, PETER R.;RAUCH, RICHARD J.;MUELLER, JEFFREY JOHN;MCBRIDE, PATRICK JAMES",
CA2377205,01.10.2002,ONE-DISH FROZEN DINNER PRODUCT HAVING AN INTEGRAL BREAD RING AND APPARATUS FOR SHIPPING AND PREPARING SAME,"[09/822,630 2001-03-30T23:59:59.000Z US]",A21D 15/02;A21B 5/00;A21C 9/08;A21D 8/02,"KRAFT FOODS HOLDINGS, INC.","GOSSELIN, AMY L.;COLE, FRANK;GREINER, STEVEN;GUZOWSKI, CHRISTOPHER P.;ZETTLEMOYER, AMY LYNNE;SCHWAB, BARBARA SUE",
EP1448390,26.08.2004,PEELABLE FILM AND PACKAGING MADE THEREFROM,"[0204341 2002-09-06T23:59:59.000Z IB, 1013801 2001-12-06T23:59:59.000Z US, 31821101 2001-09-07T23:59:59.000Z US]",B32B 27/34;B29C 47/00;B29C 55/28;B32B 7/06;B32B 27/24;B65D 65/40;B65D 75/30,PECHINEY EMBALLAGE FLEXIBLE EU,INGRAHAM BRIAN,
US20040260465,24.12.2004,Display method and apparatus for navigation system for searching POI and arranging listing order of POI,"[10460960 2003-06-13T23:59:59.000Z US, 10772498 2004-02-05T23:59:59.000Z US]",G01C 21/28;G01C 21/32;G01C 21/00;G01C 21/00;G01C 21/34;G01C 21/34;G08G 1/123;G08G 1/123;G08G 1/127;G08G 1/13,"Alpine Electronics, Inc.",Tu Ihung S.,
US20040254723,17.12.2004,DISPLAY METHOD AND APPARATUS FOR ARRANGING ORDER OF LISTING POINTS OF INTEREST FOR NAVIGATION SYSTEM,[10460960 2003-06-13T23:59:59.000Z US],G01C 21/34;G01C 21/00;G01C 21/00;G01C 21/34;G01C 21/34,,Tu Ihung S.,
US20060143080,30.06.2006,Generating and/or serving dynamic promotional offers such as coupons and advertisements,[10025892 2004-12-29T23:59:59.000Z US],G06Q 30/00;G06F 17/00;G06F 17/00;G06F 17/30;G06F 17/30;G06Q 30/00,GARG ASHUTOSH;ROMERO ALLEN,Garg Ashutosh;Romero Allen,
US20060027482,10.02.2006,Jumper cable bag,[10910517 2004-08-03T23:59:59.000Z US],B65D 85/00;B65D 85/00;B65H 55/00;B65H 55/00,PEARSON DAVID A,Pearson David Andrew,
US20080208735,29.08.2008,"Method, System, and Computer Program Product for Managing Business Customer Contacts",,G06Q 40/00;G06Q 40/00,"American ExpressTravel Related Services Company, Inc., a New York Corporation",Balet Gregory J.;Choi David Y.;Lee Young Choon;Sawyer Jon William;Smith Danielle L.;Srivastava Atul K.;Vapenik Michael A.,
US20080086384,11.04.2008,Method and system for providing pay-per-call services,,H04M 15/00;G06Q 30/00;G06Q 10/00;H06M 3/42,Srinivasan Thirunarayanan;Ramamurthy Ramesh;Kannan Krishnan;Anakavur Muralidharan;Padmanabhan Gopakumar,Srinivasan Thirunarayanan;Ramamurthy Ramesh;Kannan Krishnan;Anakavur Muralidharan;Padmanabhan Gopakumar,
US20100001425,08.01.2010,Rapid rotational foam molding process,[CA08000814 2008-05-01T23:59:59.000Z WO],B29C 41/04;B29C 41/04;B28B 21/02;B28B 21/32,,Pop-Iliev Remon;Christian Kimbery Anne;Abdalla Emad Samy,
US20110240635,07.10.2011,Susceptor Structure,,H05B 6/64,LAFFERTY Terrence P.;Middleton Scott W.,LAFFERTY Terrence P.;Middleton Scott W.,
US20110221089,16.09.2011,Rapid rotational foam molding process,,B29C 35/02,Pop-Iliev Remon;Christian Kimbery Anne;Abdalla Emad Samy,Pop-Iliev Remon;Christian Kimbery Anne;Abdalla Emad Samy,
US20110179018,22.07.2011,Method and device for storing and accessing retail contacts,,G06F 17/30;G06F 7/00,Lazaridis Mihal;BlackBerry Limited;Scott Sherryl Lee Lorraine,Lazaridis Mihal;Scott Sherryl Lee Lorraine,
US20120044179,24.02.2012,TOUCH-BASED GESTURE DETECTION FOR A TOUCH-SENSITIVE DEVICE,,G06F 3/041,Hudson Douglas T.,Hudson Douglas T.,
US20130217366,23.08.2013,Concierge,,H04M 3/42;H04W 4/02;H04W 4/00,Kolodziej Kris;Cellco Partnership,Kolodziej Kris,
US20130328929,13.12.2013,MOBILE COMMUNICATION TERMINAL FOR PROVIDING AUGMENTED REALITY SERVICE AND METHOD OF CHANGING INTO AUGMENTED REALITY SERVICE SCREEN,[10-2012-0060678 2012-06-06T23:59:59.000Z KR],G06T 19/00,"Samsung Electronics Co., Ltd.",JEUNG Ji-Hong;LEE Gong-Wook;BAEK Sung-Hwan;LEE Jun-Ho;CHO Kyu Sung,
US20140235223,22.08.2014,CONCIERGE,,H04W 4/02,CELLCO PARTNERSHIP d/b/a VERIZON WIRELESS;CELLCO PARTNERSHIP d/b/a VERIZON WIRELESS,Kolodziej Krzysztof,
US4016301,06.04.1977,Electrically conductible gellable composition with ionized salt,[05446822 1974-02-28T23:59:59.000Z US],A23L 1/00;A23L 1/00;A23L 1/01;A23L 1/01;B65D 81/34;B65D 81/34;H05B 3/00;H05B 3/00;H05B 3/06;H05B 3/06,"Lectrofood, Inc.",Theimer Ernst Theodore;Heinze George E.,
US4016297,06.04.1977,Electrically conducting foodstuff coated with composition of matter consisting essentially of gel and ionized species,[05446822 1974-02-28T23:59:59.000Z US],A23L 1/00;A23L 1/00;A23L 1/01;A23L 1/01;A23L 3/005;A23L 3/005;B65D 81/34;B65D 81/34;H05B 3/00;H05B 3/00;H05B 3/06;H05B 3/06,"Lectrofood, Inc.",Theimer Ernst Theodore;Heinze George E.,
US20070247277,26.10.2007,"Electronic or automatic identification method to remotely manage the locks or access points to a multi-compartment secure distribution receptacle, via the internet or wireless communication network",[11114096 2006-04-24T23:59:59.000Z US],G06K 9/00;G06K 9/00,MURCHISON KENNETH;PERRYMAN W C CHIP,Murchison Kenneth;Perryman W. C. Chip,
EP1346640,25.09.2003,A low fat cocoa extract,[02006228 2002-03-20T23:59:59.000Z EP],A23G 1/00;A21D 2/36;A23G 1/02;A23G 1/30;A23G 1/56;A23K 1/16;A23K 1/18;A23L 1/221;A23L 1/234;A23L 1/30;A61K 8/00;A61K 8/49;A61K 8/92;A61K 8/96;A61K 8/97;A61K 8/99;A61K 47/22;A61K 47/46;A61Q 19/00,NESTLE SA,MC CARTHY JAMES;BREVARD HUGUES,
EP0141615,16.05.1985,PROCESS FOR PRODUCING A HYDROLYZED VEGETABLE PROTEIN ISOLATE AND THE USE THEREOF,[54491283 1983-10-24T23:59:59.000Z US],A23C 20/00;A23J 3/00;A23J 3/00;A23C 20/00;A23J 3/30;A23J 3/34,RALSTON PURINA COMPANY,"CIPOLLO, KENT LEE;CHO, IUE CHUNG;WARNER, GREGORY PAUL",
EP2308359,14.04.2011,Cooking device,[09012885 2009-10-12T23:59:59.000Z EP],A47J 37/04,JOHN BEAN TECHNOLOGIES AB,WILSON ALEC;PETRIE ROBERT JAMES,
EP0513076,20.11.1992,CONTROLLED HEATING OF FOODSTUFFS BY MICROWAVE ENERGY,"[200920  , 535168  , CA19902009207  , CA9100031  , US19900535168  , WO1991CA00031  , 2009207 1990-02-02T23:59:59.000Z CA, 9100031 1991-01-31T23:59:59.000Z CA, 53516890 1990-06-08T23:59:59.000Z US]",H05B 6/80;H05B 6/64;F24C 7/02;B65D 81/34;H05B 6/64,BECKETT IND INC,BECKETT D GREGORY,
EP0423116,25.04.1991,HOT AIR COOKER.,"[576011 1988-08-30T23:59:59.000Z CA, 8802269 1988-07-06T23:59:59.000Z US]",A47J 37/01;A47J 39/00;A47J 37/01;A47J 39/00,ALTERNATIVE PIONEERING SYST,ERICKSON CHAD S,
EP0792087,28.08.1997,Method of controlling the driving of a tray of a microwave oven,"[19960004364 1996-02-23T23:59:59.000Z KR, 19960004365 1996-02-23T23:59:59.000Z KR]",H05B 6/80;H05B 6/78;F24C 7/02;F24C 15/16;H05B 6/64;H05B 6/80;H05B 11/00,SAMSUNG ELECTRONICS CO LTD,HAN DAE-SUNG;HONG SEOK-WEON;KANG KWANG-SEOK,
EP0920256,10.06.1999,FLEXIBLE PARTIALLY COOKED DOUGH COMPOSITION,"[69048896 1996-07-31T23:59:59.000Z US, 9709276 1997-05-30T23:59:59.000Z US]",A23L 1/164;A21D 13/00;A21D 13/00;A23L 1/217;A23L 1/164;A23L 1/217,PILLSBURY CO,THOMAS DAVID J;LEVIN LIZA B,
EP1365631,27.11.2003,Method of controlling the driving of a tray of a microwave oven,"[97301121 1997-02-21T23:59:59.000Z EP, 19960004364 1996-02-23T23:59:59.000Z KR, 19960004365 1996-02-23T23:59:59.000Z KR]",H05B 6/80;H05B 6/80,SAMSUNG ELECTRONICS CO LTD,HAN DAE-SUNG;HONG SEOK-WEON;KANG KWANG-SEOK,
EP1913853,24.04.2008,Apparatus for cooking food products in a quick manner on both sides thereof,[PN20060081 2006-10-17T23:59:59.000Z IT],A47J 37/06;H05B 6/80,ELECTROLUX PROFESSIONAL SPA,TASSAN MANGINA FRANCO;FADELLI MARINO;DORIGO ROBERTO;ULIAN MARCO,
EP0607997,28.07.1994,Hot air cooker.,"[576011 1988-08-30T23:59:59.000Z CA, 88909659 1988-07-06T23:59:59.000Z EP, 8802269 1988-07-06T23:59:59.000Z US]",A47J 39/00;A47J 37/01;A47J 37/01;A47J 39/00,ALTERNATIVE PIONEERING SYST,ERICKSON CHAD S,
EP0610788,18.08.1994,Hot air cooker.,[88909659 1988-07-06T23:59:59.000Z EP],A47J 39/00;A47J 37/01;A47J 37/01;A47J 39/00,ALTERNATIVE PIONEERING SYST,ERICKSON CHAD S,
EP1688894,10.08.2006,System for heating and extraction of food products in automatic dispensing machines,[200500190 2005-02-02T23:59:59.000Z ES],G07F 9/10,JOFEMAR SA,GUINDULAIN VIDONDO FELIX,
